no,파일,사업장명,허가번호,업종,종별,소재지,대기배출시설,폐수배출시설,페이지수,완성도,공정수,자가측정표,원료표
1,01_창광실업.json,창광실업,0121-01,지정 폐기물처리업(38220),1종,충청남도 천안시 성거읍 천흥8길 19(천흥리 315-2),1종 [오염물질 발생량 :108.576톤/년*],5종 [폐수발생량 : 18.115㎥/일],106,9/9,5,5,0
2,02_(주)그린환경기술.json,(주)그린환경기술,0106-01,"지정 외 폐기물 처리업(38210), 기타발전업(35119)",1종,충청남도 천안시 서북구 성거읍 망향로 903-19,"1종 [오염물질 발생량 : 1,241.45톤/년*]",5종 [폐수배출량 : 19.3 m3/일],125,9/9,8,5,1
3,03_(주)엔아이티.json,(주)엔아이티,0110-01,"지정 외 폐기물 처리업(38210), 지정 폐기물 처리업(38220),",1종,전라북도 군산시 서해로 259 (전라북도 군산시 소룡동 1662),"1종 [오염물질 발생량 : 4,467.98톤/년*]",3종 [폐수배출량 : 616.51m3/일],193,9/9,9,7,0
4,04_대원그린에너지(주).json,대원그린에너지(주),0103-01,"지정 외 폐기물처리업 (38210), 기타 발전업(35119)",1종,충청남도 천안시 서북구 성거읍 남산3길 58-24,,,128,9/9,8,5,2
5,05_새한환경(주).json,새한환경(주),0086-01,지정 외 폐기물 처리업(3821),1종,충청남도 천안시 동남구 대평교길 68,"1종 [오염물질 발생량 : 1,359.044톤/년*]",5종 [폐수배출량 : 47.7 m3/일],142,9/9,5,5,0
6,06_운정환경관리센터.json,운정환경관리센터,0107-01,지정 외 폐기물 처리업(38210),1종,경기도 파주시 가람로 150번길 41-34(와동동 1503),1종 [오염물질 발생량 : 917.96톤/년**],5종 [폐수배출량 : 35.4m3/일],148,9/9,10,6,1
7,07_01호.json,부여군 생활폐기물 자원회수시설,0555-01,38210 지정외 폐기물 처리업,1종,충청남도 부여군 장암면 북고리 551-1(북고로 201),1종 [오염물질 발생량 : 369.54톤/년*],5종 [폐수 무방류(전량 위탁처리)],138,9/9,16,4,0
8,08_고흥읍 폐기물처리시설.json,고흥읍 폐기물처리시설,0846-01,,1종,,,,70,4/9,7,0,0
9,09_(주)이알지서비스.json,(주)이알지서비스,0113-01,"지정 외 폐기물 처리업(38210), 지정 폐기물 처리업(38220 )",1종,인천광역시 남동구 남동서로 316번길 41,"1종 [오염물질 발생량 : 1,213.3톤/년*]",4종 [152.4㎥/일],156,9/9,8,4,0
10,10_TSK 그린에너지.json,TSK 그린에너지,0126-01,지정 외 폐기물 처리업(38210),1종,전라북도전주시덕진구감수길10-54 (전라북도전주시덕진구팔복동4가 180-47),"1종 [오염물질 발생량 : 1,979.03톤/년*]",5종 [폐수배출량 : 47.1m3/일],130,9/9,6,5,0
11,11_(주)에너지네트웍.json,(주)에너지네트웍,0127-01,,1종,부산광역시 사하구 강변대로 20 (신평동 642-10),"1종 [오염물질 발생량 : 1,357.01톤/년*]",3종 [295 ㎥/일],130,8/9,5,6,0
12,12_엔씨메디(주).json,엔씨메디(주),0154-01,지정 폐기물 처리업(38220),2종,부산광역시 기장군 정관읍 양수길 55-52,2종 [오염물질 발생량 : 46.38톤/년*],5종 [폐수배출량 : 10m3/일],98,9/9,6,3,0
13,13_마포자원회수시설.json,마포자원회수시설,0156-01,지정 외 폐기물 처리업(38210),1종,서울특별시 마포구 하늘공원로 86,"1종 [오염물질 발생량 : 8,422.89톤/년]",4종 [폐수배출량 : 190.01m3/일],150,9/9,11,5,0
14,15_주원전주(주).json,주원전주(주),0157-01,지정 외 폐기물처리업(38210),1종,전라북도 전주시 덕진구 원만성로 55,,,118,9/9,7,4,0
15,17_환경부슬러지자원화시설.json,환경부슬러지자원화시설,0159-01,지정 외 폐기물처리업(38210),1종,전라남도 여수시 산단중앙로 409,,,117,9/9,14,5,0
16,18_삼척에코건자재(주).json,삼척에코건자재(주),0164-01,지정 외 폐기물 처리업(38210),2종,강원도 삼척시 원덕읍 삼척로 734 (호산리 산1-3),2종 [오염물질 발생량 : 23.4톤/년**] * 먼지 23.4톤/년,5종 [폐수배출량 : 20m3/일],116,9/9,6,3,1
17,19_(주)서광하이테크.json,(주)서광하이테크,0198-01,"지정 외 폐기물 처리업(38210), 지정 폐기물 처리업(38220)",1종,충청남도 서산시 대산읍 죽엽로 388(대죽리 753-22),1종 [오염물질 발생량 : 244.71톤/년*],"5종 [폐수배출량 : 20.56m3/일, 전량재이용]",118,9/9,7,5,2
18,20_(주)디디에스.json,(주)디디에스,0204-01,지정 폐기물 처리업(38220),1종,충청남도 논산시 벌곡면 벌곡로 113-45,1종 [오염물질 발생량 : 159.92톤/년*],5종 [폐수배출량 : 17.8m3/일],116,9/9,5,3,1
19,21_(주)이메디원.json,(주)이메디원,0208-01,38220 지정폐기물 처리업,1종,전라남도 장흥군 장평면 고정길 12,1종 [오염물질 발생량 : 261.39톤/년*],5종 [폐수배출량 : 33.31㎥/일],132,9/9,5,4,0
20,22_도시환경(주).json,도시환경(주),0212-01,지정 폐기물 처리업(38220),1종,경기도 연천군 양연로 402번길 244,1종 [오염물질 발생량 : 199.2톤/년*],5종 [폐수배출량 : 29.9m3/일],108,9/9,6,3,0
21,23_성남 환경에너지시설.json,성남 환경에너지시설,0222-01,지정 외 폐기물 처리업(38210),1종,경기도 성남시 중원구 둔촌대로 567,"1종[발생량: 8,303.31톤/년(먼지7,582.16톤/년, SOx 260.35톤/년, NOx 460",3종 [폐수배출량 : 230m3/일],166,9/9,21,6,0
22,24_맑은누리파크.json,맑은누리파크,0224-01,지정 외 폐기물 처리업(38210),1종,경상북도 안동시 풍천면 호민로 108,"1종 [오염물질 발생량 : 4,142.32톤/년**]",3종 [폐수배출량 : 201.35m3/일],146,9/9,7,9,0
23,25_평택에코센터.json,평택에코센터,0227-01,지정 외 폐기물처리업(38210),1종,경기도 평택시 고덕면 도시지원1길 91,,,169,9/9,9,7,2
24,26_(주)EG메탈.json,(주)EG메탈,0236-01,"지정 외 폐기물 처리업(38210), 지정 폐기물 처리업(38220),",1종,울산광역시 남구 처용로 687(황성동 836),1종 [오염물질 발생량 : 405.59톤/년*],3종 [폐수배출량 : 337.81m3/일],159,9/9,10,5,2
25,27_전주시 종합리싸이클링타운.json,전주시 종합리싸이클링타운,0241-01,지정 외 폐기물 처리업(38210),1종,전라북도 전주시 노송광장로 10,1종 [오염물질 발생량 : 538.44톤/년*],2종 [폐수배출량 : 713.79m3/일],154,9/9,8,7,0
26,28_주.json,케이알에너지(주),0255-02,냉온수 및 공기조절 공급업(35300),1종,울산광역시 남구 장생포고래로 29번길 7,"1종 [오염물질 발생량 : 2,057.72톤/년*]",5종 [폐수배출량 : 20.76m3/일],132,9/9,27,4,0
27,29_대일개발(주).json,대일개발(주),0257-01,"지정 외 폐기물 처리업(38210), 지정 폐기물 처리업(38220),",1종,경기도 안산시 단원구 지원로 7,1종 [오염물질 발생량 : 407.39톤/년*],3종 [폐수배출량 : 286.24m3/일],178,9/9,8,6,0
28,30_(주)동양환경 무안.json,(주)동양환경 무안,0259-01,지정 외 폐기물 처리업(38210),1종,전라남도 무안군 청계면 영산로 1525-26(청계리 516),,,148,9/9,8,8,0
29,31_(주)에스피환경.json,(주)에스피환경,0264-01,"지정 외 폐기물 처리업(38210), 지정 폐기물 처리업(38220),",1종,경상북도 영천시 도남공단3길 25,1종 [오염물질 발생량 : 342.645톤/년*],5종 [폐수배출량 : 13.3m3/일],142,9/9,7,5,1
30,32_정세환경기술(주).json,정세환경기술(주),0265-01,"지정외폐기물 처리업(38210), 지정폐기물처리업(38220)",1종,경상북도 경주시 안강읍 두류길 218-116,"1종[오염물질 발생량 : 1,017.966톤/년*]",5종 [폐수배출량 : 24.91m3/일],116,9/9,8,6,1
